2025-03-25 19:59,6.4,-48.0,-25.0
2025-03-25 19:59,-24.16,-6.0,-85.0
2025-03-25 19:59,4.0,18.0,35.0
2025-03-25 20:00,-6.71,39.0,49.0
2025-03-25 20:00,0.7,-21.0,84.0
2025-03-25 20:00,-24.47,52.0,145.0
2025-03-25 20:00,-20.44,-39.0,-57.0
2025-03-25 20:00,-25.36,-27.0,103.0
2025-03-25 20:00,-3.68,7.0,19.0
2025-03-25 20:00,16.19,17.0,172.0
2025-03-25 20:00,16.41,9.0,-14.0
2025-03-25 20:00,10.34,62.0,22.0
2025-03-25 20:00,-8.01,-11.0,152.0
2025-03-25 20:18,16.89,-89.0,24.0
2025-03-25 20:18,-0.88,-39.0,95.0
2025-03-25 20:18,-2.86,-83.0,-20.0
2025-03-25 20:18,9.05,28.0,22.0
2025-03-25 20:18,-23.76,8.0,32.0
